,timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
0,2015-01-04 00:00:00,182,3.0,2.0,93.0,6.0,3.0,0.0,,3.0
1,2015-01-04 01:00:00,138,3.0,2.5,93.0,,1.0,0.0,1.0,3.0
2,2015-01-04 02:00:00,134,2.5,,96.5,0.0,1.0,0.0,1.0,3.0
3,2015-01-04 03:00:00,72,2.0,2.0,100.0,0.0,1.0,0.0,,3.0
4,2015-01-04 04:00:00,47,2.0,0.0,93.0,6.5,,0.0,1.0,3.0
5,2015-01-04 05:00:00,46,2.0,,93.0,4.0,1.0,0.0,1.0,3.0
6,2015-01-04 06:00:00,51,1.0,-1.0,100.0,7.0,4.0,,1.0,3.0
7,2015-01-04 07:00:00,75,1.0,-1.0,100.0,7.0,4.0,,1.0,3.0
8,2015-01-04 08:00:00,131,,-1.0,96.5,8.0,4.0,0.0,1.0,3.0
9,2015-01-04 09:00:00,301,2.0,-0.5,100.0,9.0,3.0,,1.0,3.0
10,2015-01-04 10:00:00,528,3.0,-0.5,93.0,12.0,3.0,,1.0,3.0
11,2015-01-04 11:00:00,727,2.0,-1.5,100.0,12.0,3.0,0.0,,3.0
12,2015-01-04 12:00:00,862,2.0,-1.5,96.5,13.0,4.0,0.0,,3.0
13,2015-01-04 13:00:00,916,3.0,-0.5,87.0,15.0,3.0,0.0,1.0,
14,2015-01-04 14:00:00,1039,2.5,0.0,90.0,8.0,3.0,0.0,,3.0
15,2015-01-04 15:00:00,869,2.0,-1.5,,11.0,3.0,0.0,1.0,3.0
16,2015-01-04 16:00:00,737,3.0,0.0,93.0,12.0,3.0,0.0,1.0,
17,2015-01-04 17:00:00,594,3.0,0.0,93.0,11.0,,0.0,1.0,3.0
18,2015-01-04 18:00:00,522,3.0,1.5,,6.5,3.0,0.0,1.0,3.0
19,2015-01-04 19:00:00,379,,1.0,93.0,7.0,3.0,0.0,1.0,3.0
20,2015-01-04 20:00:00,328,3.0,3.0,93.0,4.0,3.0,0.0,,3.0
21,2015-01-04 21:00:00,221,3.0,2.5,93.0,5.0,4.0,,1.0,3.0
22,2015-01-04 22:00:00,178,3.0,2.0,93.0,6.0,4.0,0.0,1.0,
23,2015-01-04 23:00:00,157,4.0,3.5,87.0,,4.0,0.0,1.0,3.0
24,2015-01-05 00:00:00,83,4.0,3.0,93.0,6.0,4.0,0.0,0.0,
25,2015-01-05 01:00:00,67,,3.5,93.0,5.0,4.0,0.0,0.0,3.0
26,2015-01-05 02:00:00,32,5.0,4.0,87.0,6.0,4.0,0.0,,3.0
27,2015-01-05 03:00:00,22,6.0,4.5,,7.5,4.0,0.0,0.0,3.0
28,2015-01-05 04:00:00,38,6.5,5.0,84.0,8.0,4.0,0.0,0.0,
29,2015-01-05 05:00:00,81,6.0,5.5,,5.0,4.0,0.0,0.0,3.0
30,2015-01-05 06:00:00,444,,6.5,81.0,5.0,3.0,0.0,0.0,3.0
31,2015-01-05 07:00:00,1597,7.0,6.0,81.0,,3.0,0.0,0.0,3.0
32,2015-01-05 08:00:00,3161,8.0,7.5,79.0,5.0,3.0,0.0,,3.0
33,2015-01-05 09:00:00,1342,8.0,7.0,82.0,6.0,3.0,0.0,0.0,
34,2015-01-05 10:00:00,568,,8.0,84.5,6.5,3.0,0.0,0.0,3.0
35,2015-01-05 11:00:00,584,9.0,7.5,90.5,,3.0,0.0,0.0,3.0
36,2015-01-05 12:00:00,762,10.0,8.0,85.0,11.0,3.0,,0.0,3.0
37,2015-01-05 13:00:00,873,10.0,8.5,82.0,10.0,3.0,,0.0,3.0
38,2015-01-05 14:00:00,672,10.0,9.0,82.0,9.0,,0.0,0.0,3.0
39,2015-01-05 15:00:00,807,10.0,8.5,79.0,10.0,3.0,0.0,,3.0
